Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","kcal/capita/day","20.44","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","665","Food supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","16.23","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","1.75","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","684","Fat supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","1.43","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","261","Calories/Year","21121","Meat of chickens, fresh or chilled","2020","2020","million kcal","327222.98","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","271","Proteins/Year","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","28047.68","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","281","Fats/Year","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","22853.67","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","1286.52","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5141","Food supply quantity (tonnes)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","1286.52","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","664","Food supply (kcal/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","kcal/capita/day","0.13","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0.11","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0.02","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","684","Fat supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","261","Calories/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","million kcal","1608.15","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","271","Proteins/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","231.57","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","281","Fats/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","50.17","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","21511.03","Fat of poultry","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5113","Opening stocks","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","74418.8","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","52216.06","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","215928.19","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5071","Stock Variation","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5141","Food supply quantity (tonnes)","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","268144.25","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","664","Food supply (kcal/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","kcal/capita/day","27.27","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","22.35","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","2.75","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","684","Fat supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","1.72","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","261","Calories/Year","21121","Meat of chickens, fresh or chilled","2020","2020","million kcal","327135.99","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","271","Proteins/Year","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","32981.74","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","281","Fats/Year","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","20647.11","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","0.01","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","21522","Poultry fat, rendered","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5141","Food supply quantity (tonnes)","21522","Poultry fat, rendered","2020","2020","tonnes","0.01","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","664","Food supply (kcal/capita/day)","21522","Poultry fat, rendered","2020","2020","kcal/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","21522","Poultry fat, rendered","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","21522","Poultry fat, rendered","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","684","Fat supply quantity (g/capita/day)","21522","Poultry fat, rendered","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","261","Calories/Year","21522","Poultry fat, rendered","2020","2020","million kcal","0.05","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","271","Proteins/Year","21522","Poultry fat, rendered","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","281","Fats/Year","21522","Poultry fat, rendered","2020","2020","tonnes","0.01","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import Quantity","F1061","Poultry meat preparations","2020","2020","tonnes","173.99","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","F1061","Poultry meat preparations","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5141","Food supply quantity (tonnes)","F1061","Poultry meat preparations","2020","2020","tonnes","173.99","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","664","Food supply (kcal/capita/day)","F1061","Poultry meat preparations","2020","2020","kcal/capita/day","0.02","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/capita/day","0.01","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","684","Fat supply quantity (g/capita/day)","F1061","Poultry meat preparations","2020","2020","g/capita/day","0","I","Imputed value"
