Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","-619","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","664","Food supply (kcal/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","kcal/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","684","Fat supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","261","Calories/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","million Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","271","Proteins/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","281","Fats/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","t","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import quantity","21511.03","Fat of poultry","2020","2020","t","10.09","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","21511.03","Fat of poultry","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","664","Food supply (kcal/capita/day)","21511.03","Fat of poultry","2020","2020","kcal/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","684","Fat supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","261","Calories/Year","21511.03","Fat of poultry","2020","2020","million Kcal","54.69","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","271","Proteins/Year","21511.03","Fat of poultry","2020","2020","t","0.62","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","281","Fats/Year","21511.03","Fat of poultry","2020","2020","t","5.8","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5113","Opening stocks","21121","Meat of chickens, fresh or chilled","2020","2020","t","74418.8","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","t","52309.13","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2020","2020","t","214513.15","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5071","Stock Variation","21121","Meat of chickens, fresh or chilled","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2020","2020","t","17.23","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5166","Residuals","21121","Meat of chickens, fresh or chilled","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","664","Food supply (kcal/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","kcal/cap/d","30.12","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/cap/d","21.87","X","Figure from international organizations","Unofficial figure"
